ENDTIME_us,TASK,PID,TYPE,BYTES,OFFSET_b,LATENCY_us,FILE
1383474157013,git,67521,R,169,3341635725,1346,tmp_pack_YhEcHg
1383474163284,git,67521,R,31,3272966068,2866,tmp_pack_YhEcHg
1383474167575,git,67521,R,25,3490954312,3679,tmp_pack_YhEcHg
1383474171170,git,67521,R,437,3490954977,3258,tmp_pack_YhEcHg
1383474173234,git,67521,R,321,3060379442,1637,tmp_pack_YhEcHg
1383474176082,git,67521,R,916,3533411874,1030,tmp_pack_YhEcHg
1383474194523,git,67521,R,105,3218452461,3637,tmp_pack_YhEcHg
1383474196331,git,67521,R,1169,3370033593,1352,tmp_pack_YhEcHg
1383474266056,git,67521,R,42,3363337520,1468,tmp_pack_YhEcHg
1383474271567,git,67521,R,42,1095355009,1757,tmp_pack_YhEcHg
1383474275544,git,67521,R,635,3350081601,1244,tmp_pack_YhEcHg
1383474320048,git,67521,R,1129,1100663250,4120,tmp_pack_YhEcHg
1383474324018,git,67521,R,515,1100666489,7768,tmp_pack_YhEcHg
1383474334880,git,67521,R,387,1101080136,1882,tmp_pack_YhEcHg
1383474336031,git,67521,R,4058,1101092435,1159,tmp_pack_YhEcHg
1383474386315,git,67521,R,1976,1105141279,1702,tmp_pack_YhEcHg
1383474389809,git,67521,R,1581,3206601597,2171,tmp_pack_YhEcHg
1383474392030,git,67521,R,1598,3316496391,1868,tmp_pack_YhEcHg
1383474413059,git,67521,R,28,3610667538,1092,tmp_pack_YhEcHg
1383474414115,git,67521,R,1633,3218458804,1074,tmp_pack_YhEcHg
1383474416030,git,67521,R,58,3610669451,1927,tmp_pack_YhEcHg
1383474423850,git,67521,R,1104,3610677026,3284,tmp_pack_YhEcHg
1383474440055,git,67521,R,52509,1111847743,1323,tmp_pack_YhEcHg
1383474476040,git,67521,R,11734,1113513507,3662,tmp_pack_YhEcHg
1383474484034,git,67521,R,38,3281099689,3709,tmp_pack_YhEcHg
1383474492024,git,67521,R,1525,3338422715,2512,tmp_pack_YhEcHg
1383474508032,git,67521,R,1519,3370073060,1628,tmp_pack_YhEcHg
1383474542184,git,67521,R,531,1122979703,1323,tmp_pack_YhEcHg
1383474543589,git,67521,R,1087,3135799171,1437,tmp_pack_YhEcHg
1383474546896,git,67521,R,789,3152714020,2903,tmp_pack_YhEcHg
1383474567336,git,67521,R,763,1125725394,1083,tmp_pack_YhEcHg
1383474568364,git,67521,R,982,3152784346,1133,tmp_pack_YhEcHg
1383474570859,git,67521,R,505,3611267923,2505,tmp_pack_YhEcHg
1383474572025,git,67521,R,493,3218590972,1176,tmp_pack_YhEcHg
1383474660032,git,67521,R,5452,1143671792,1343,tmp_pack_YhEcHg
